Date,Time,Open,High,Low,Close,Volume
20040731,0,3899,3935,3800,3935,19095
20040801,0,3800,3880,3750,3880,14301
20040802,0,3750,3877,3700,3846,12687
20040803,0,3700,3843,3700,3843,659
20040804,0,3800,3827,3700,3827,5873
20040807,0,3636,3806,3636,3806,9161
20040808,0,3799,3801,3620,3801,7861
20040809,0,3700,3794,3620,3794,3350
20040810,0,3786,3789,3620,3754,19287
20040811,0,3789,3941,3789,3802,16943
20040814,0,3900,3900,3801,3824,11958
20040815,0,3899,3900,3800,3831,7660
20040816,0,3829,3900,3829,3838,6358
20040817,0,3900,3901,3844,3844,4710
20040818,0,3900,4029,3863,3863,5372
20040821,0,3900,3900,3863,3863,894
20040822,0,3950,3953,3890,3916,40840
20040823,0,3900,3907,3899,3907,20546
20040824,0,3870,3900,3789,3894,12960
20040825,0,3950,3953,3898,3898,3579
20040828,0,3897,4036,3897,3901,2785
20040829,0,3706,3897,3706,3897,682
20040831,0,3706,3872,3706,3872,5616
